year,month,day,event,isHoliday
1394,6,27,درگذشت سید محمدحسین شهریار شاعر نامدار ایرانی,0
1394,6,28,درگذشت ایتالو کالوینو نویسنده,0
1394,6,28,زادروز ویلیام گلدینگ شاعر و رمان‌نویس بریتانیایی,0
1394,6,29,محاصره اورشلیم یا بیت‌المُقَّدَس توسط صلاح‌الدین ایوبی بنیان‌گذار دودمان ایوبیان,0
1394,6,29,تأسیس مجمع ملی فرانسه در هنگامه‌ی انقلاب فرانسه که نقش مجلس مؤسسان قانون اساسی و قانون‌گذاری را به عهده داشت.,0
1394,6,30,روز گفتگوی تمدنها,0
1394,6,30,شهادت امام محمد باقر علیه السلام,0
1394,6,30,روز جهانی صلح,0
1394,6,30,درگذشت آرتور شوپنهاور فیلسوف آلمانی,0
1394,6,30,استقلال جمهوری ارمنستان از اتحاد جماهیر شوروی,0
1394,6,30,زادروز فریدون مشیری  شاعر ایرانی,0
1394,6,30,زادروز لئونارد کوهن شاعر,0
1394,6,30,درگذشت ویرژیل شاعر روم باستان و خالق منظومه حماسی و ملی انه‌اید,0
1394,6,30,درگذشت پرویز مشکاتیان موسیقی‌دان و نوازنده ایرانی,0
1394,6,30,زادروز هایک کامرلینگ اونس فیزیکدان هلندی,0
1394,6,31,آغاز هفته دفاع مقدس,0
1394,6,31,اعلام موجودیت جمهوری اول فرانسه,0
1394,6,31,صدور اعلامیه آزادی بردگان در ایالات متحده آمریکا,0
1394,6,31,زادروز مایکل فارادی فیزیکدان و شیمیدان انگلیسی,0
1394,6,31,زادروز پرویز یاحقی,0
1394,6,31,زادروز آندریا بوچلی خواننده‌ی ایتالیایی,0
1394,7,1,روز عرفه,0
1394,7,1,زادروز قوبلای خان پنجمین خانِ بزرگ امپراتوری مغول,0
1394,7,1,زادروز محمدرضا شجریان خواننده,0
1394,7,1,زادروز حسین منزوی شاعر ایرانی,0
1394,7,1,نپتون هشتمین سیاره سامانه خورشیدی,0
1394,7,1,درگذشت زیگموند فروید عصب‌شناس اتریشی و پایه‌گذار مکتب روان‌کاوی,0
1394,7,1,آغاز حمله مغول به ایران در پاییز 598 خورشیدی,0
1394,7,2,عید سعید قربان,1
1394,7,2,هوندا شرکت بزرگ ژاپنی تولیدکنندهٔ موتورسیکلت و بعدها خودرو,0
1394,7,2,نیوکمپ,0
1394,7,2,درگذشت میرزا تورسون‌زاده قهرمان ملی ,0
1394,7,3,زادروز پدرو آلمودوار کارگردان,0
1394,7,3,زادروز ویلیام فاکنر نویسندهٔ آمریکایی,0
1394,7,3,انحلال حزب رستاخیز,0
