year,month,day,event,isHoliday
1396,4,16,زادروز کامیلو گولگی زیست‌شناس ایتالیایی، برنده جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۰۶,0
1396,4,16,درگذشت یوهانا اشپیری نویسنده داستان‌های کودکان، خالق رمان هایدی,0
1396,4,17,درگذشت کارو لوکس، از پژوهشگران به‌نام سیستم‌های هوشمند در ایران، «پدر علم رباتیک ایران»,0
1396,4,17,زادروز پیوتر کاپیتسا فیزیک‌دان روسی مولداوی، برندهٔ جایزه نوبل فیزیک سال ۱۹۷۸,0
1396,4,18,درگذشت ژرژ باتای فیلسوف فرانسوی,0
1396,4,18,درگذشت آمادئو آووگادرو دانشمند ایتالیایی,0
1396,4,19,زادروز نیکولا تسلا مخترع و فیزیکدان آمریکایی,0
1396,4,19,درگذشت یوهان گوتفرید گاله ستاره‌شناس آلمانی,0
1396,4,20,زادروز تئودور میمن فیزیک‌دان آمریکایی و سازندهٔ اولین لیزر در جهان,0
1396,4,20,درگذشت جوزپه آرچیمبولدو نقاش ایتالیایی,0
1396,4,21,زادروز ملاله یوسف‌زی، فعال حقوق بشر و حقوق کودکان و عضو کمپین تحصیل دختران اهل پاکستان، برندهٔ جایزه صلح نوبل,0
1396,4,21,درگذشت مریم میرزاخانی، ریاضیدان ایرانی و اولین زن برنده مدال فیلدز,0
1396,4,22,زادروز عباس زریاب خویی، مترجم، تاریخ‌دان و کتاب‌شناس ایرانی,0
1396,4,22,درگذشت مهدی حمیدی شیرازی، ادیب، شاعر، مترجم و منتقد ایرانی,0
1396,4,23,زادروز گوستاو کلیمت نقاش نمادگرای اتریشی,0
1396,4,23,درگذشت خاسینتو بناونته نمایش‌نامه‌نویس اسپانیایی، برنده جایزه نوبل ادبیات سال ۱۹۲۲,0
1396,4,24,درگذشت آنتون چخوف، داستان‌نویس و نمایش‌نامه‌نویس برجستهٔ روس,0
1396,4,25,روز بهزیستی و تامین اجتماعی,0
1396,4,25,زادروز روئال آمونسن، کاشف نروژی قطب جنوب,0
1396,4,25,درگذشت هاینریش بل نویسنده آلمانی، برندهٔ جایزه نوبل ادبیات سال ۱۹۷۲,0
1396,4,26,درگذشت آنری پوانکاره ریاضیدان، فیزیکدان و فیلسوف علم فرانسوی,0
1396,4,27,اعلام پذیرش قطعنامه 598 شورای امنیت از سوی ایران,0
1396,4,27,زادروز هندریک لورنتز فیزیکدان هلندی، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۲,0
1396,4,27,زادروز نلسون ماندلا از فعّالان برجستهٔ مخالف آپارتاید در آفریقای جنوبی، رئیس‌جمهور سابق این کشور و برندهٔ جایزهٔ صلح نوبل سال ۱۹۹۳,0
1396,4,28,زادروز ادگار دگا نقاش فرانسوی,0
1396,4,28,درگذشت فرانک مک‌کورت نویسندهٔ آمریکایی، برندهٔ جایزه پولیتزر,0
1396,4,29,شهادت امام جعفر صادق علیه السلام,1
1396,4,29,زادروز اریک آکسل کارلفلدت شاعر سوئدی، برندهٔ جایزه نوبل ادبیات پس از مرگش در سال ۱۹۳۱,0
1396,4,29,درگذشت گولیلمو مارکونی مهندس برق اهل ایتالیا، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۹,0
1396,4,30,زادروز مارشال مک‌لوهان فیلسوف کانادایی، طراح مفهوم «دهکدهٔ جهانی»,0
1396,4,30,زادروز ارنست همینگوی نویسندهٔ آمریکایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۵۴، خالق کتاب پیرمرد و دریا,0
1396,4,31,زادروز گوستاو هرتز فیزیکدان آلمانی، برنده جایزه فیزیک نوبل سال ۱۹۲۵,0
1396,4,31,درگذشت کارل سندبرگ شاعر، نویسنده و ویراستار آمریکایی، برنده سه جایزه پولیتزر,0
