event,event_key
زادروز فریتس هابر شیمیدان آلمانی، برندهٔ جایزه نوبل شیمی سال ۱۹۱۸,زادروز فریتس هابر شیمیدان آلمانی، برندهٔ جایزه نوبل شیمی سال ۱۹۱۸
درگذشت گوستاف دالن کارخانه‌دار سوئدی، مخترع شیرهای خودکار، برندهٔ جایزه نوبل فیزیک سال ۱۹۱۲,درگذشت گوستاف دالن کارخانه‌دار سوئدی، مخترع شیرهای خودکار، برندهٔ جایزه نوبل فیزیک سال ۱۹۱۲
زادروز حیدر رقابی متخلص به هاله از شاعران معاصر اهل ایران,زادروز حیدر رقابی متخلص به هاله از شاعران معاصر اهل ایران
زادروز ایدا لاولیس ، ریاضیدان و نخستین برنامه‌ساز رایانه,زادروز ایدا لاولیس ، ریاضیدان و نخستین برنامه‌ساز رایانه
درگذشت آلفرد نوبل شیمیدان، مهندس، مبتکر و اسلحه‌ساز سوئدی، بنیانگذار جایزه نوبل,درگذشت آلفرد نوبل شیمیدان، مهندس، مبتکر و اسلحه‌ساز سوئدی، بنیانگذار جایزه نوبل
ولادت حضرت فاطمه زهرا سلام الله علیها و روز مادر,ولادت حضرت فاطمه زهرا سلام الله علیها و روز مادر
زادروز نجیب محفوظ نویسنده و نمایشنامه‌نویس مصری، برندهٔ جایزه نوبل ادبیات,زادروز نجیب محفوظ نویسنده و نمایشنامه‌نویس مصری، برندهٔ جایزه نوبل ادبیات
درگذشت ونسانت دو وینیو بیوشیمیدان آمریکایی، برندهٔ جایزه نوبل شیمی سال ۱۹۵۵,درگذشت ونسانت دو وینیو بیوشیمیدان آمریکایی، برندهٔ جایزه نوبل شیمی سال ۱۹۵۵
درگذشت ابوالحسن صدیقی نقاش و مجسمه‌ساز برجستهٔ ایرانی,درگذشت ابوالحسن صدیقی نقاش و مجسمه‌ساز برجستهٔ ایرانی
روز جهانی کوه نوردی,روز جهانی کوه نوردی
زادروز احمد شاملو شاعر و نویسنده و مترجم ایرانی,زادروز احمد شاملو شاعر و نویسنده و مترجم ایرانی
زادروز آلفرد ورنر شیمیدان سوئیسی، برندهٔ جایزه نوبل شیمی سال ۱۹۱۳,زادروز آلفرد ورنر شیمیدان سوئیسی، برندهٔ جایزه نوبل شیمی سال ۱۹۱۳
درگذشت ویکتور گرینیارد شیمیدان فرانسوی، برندهٔ جایزه نوبل شیمی سال ۱۹۱۲,درگذشت ویکتور گرینیارد شیمیدان فرانسوی، برندهٔ جایزه نوبل شیمی سال ۱۹۱۲
درگذشت پل ساموئلسون اقتصاددان اهل ایالات متحده آمریکا، برندهٔ جایزه نوبل اقتصاد سال۱۹۷۰,درگذشت پل ساموئلسون اقتصاددان اهل ایالات متحده آمریکا، برندهٔ جایزه نوبل اقتصاد سال۱۹۷۰
درگذشت ویسنته آله‌ایخاندره شاعر برجستهٔ متولد کشور اسپانیا، برندهٔ جایزه نوبل ادبیات سال ۱۹۷۷,درگذشت ویسنته آله‌ایخاندره شاعر برجستهٔ متولد کشور اسپانیا، برندهٔ جایزه نوبل ادبیات سال ۱۹۷۷
زادروز تیکو براهه، منجم دانمارکی,زادروز تیکو براهه، منجم دانمارکی
زادروز آنری بکرل فیزیکدان فرانسوی، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۳,زادروز آنری بکرل فیزیکدان فرانسوی، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۳
درگذشت ولفگانگ پائولی فیزیکدان بلندپایه اتریشی,درگذشت ولفگانگ پائولی فیزیکدان بلندپایه اتریشی
روز پژوهش,روز پژوهش
درگذشت ویلیام سامرست موآم، داستان‌نویس و نمایشنامه‌نویس انگلیسی,درگذشت ویلیام سامرست موآم، داستان‌نویس و نمایشنامه‌نویس انگلیسی
روز حمل و نقل,روز حمل و نقل
زادروز لودویگ فان بتهوون، موسیقیدان برجستهٔ آلمانی,زادروز لودویگ فان بتهوون، موسیقیدان برجستهٔ آلمانی
زادروز ویلی برانت سیاستمدار آلمانی، صدر اعظم آلمان غربی از ۱۹۶۹ تا ۱۹۷۴، برندهٔ جایزه صلح نوبل ۱۹۷۱,زادروز ویلی برانت سیاستمدار آلمانی، صدر اعظم آلمان غربی از ۱۹۶۹ تا ۱۹۷۴، برندهٔ جایزه صلح نوبل ۱۹۷۱
زادروز استیون اسپیلبرگ کارگردان، تهیه‌کننده و فیلم‌نامه‌نویس آمریکایی، برندهٔ ۳ جایزه اسکار و یکی از موفقترین کارگردانان تاریخ سینما,زادروز استیون اسپیلبرگ کارگردان، تهیه‌کننده و فیلم‌نامه‌نویس آمریکایی، برندهٔ ۳ جایزه اسکار و یکی از موفقترین کارگردانان تاریخ سینما
زادروز آلبرت آبراهام مایکلسون فیزیکدان آمریکایی روس‌تبار، برندهٔ جایزه فیزیک نوبل سال ۱۹۰۷,زادروز آلبرت آبراهام مایکلسون فیزیکدان آمریکایی روس‌تبار، برندهٔ جایزه فیزیک نوبل سال ۱۹۰۷
درگذشت رابرت میلیکان فیزیکدان برجستهٔ آمریکایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۲۳,درگذشت رابرت میلیکان فیزیکدان برجستهٔ آمریکایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۲۳
زادروز دیوید بوهم فیزیک دان مشهور آمریکایی,زادروز دیوید بوهم فیزیک دان مشهور آمریکایی
زادروز یاروسلاو هیروفسکی شیمیدان و مخترع اهل جمهوری چک، برنده جایزه نوبل شیمی سال ۱۹۵۹,زادروز یاروسلاو هیروفسکی شیمیدان و مخترع اهل جمهوری چک، برنده جایزه نوبل شیمی سال ۱۹۵۹
درگذشت جان استاینبک نویسندهٔ آمریکایی، خالق خوشه‌های خشم، برندهٔ جایزه نوبل ادبیات سال ۱۹۶۲,درگذشت جان استاینبک نویسندهٔ آمریکایی، خالق خوشه‌های خشم، برندهٔ جایزه نوبل ادبیات سال ۱۹۶۲
جشن شب یلدا,جشن شب یلدا
ولادت  امام محمد باقر علیه السلام,ولادت  امام محمد باقر علیه السلام
روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان
شهادت امام علی النقی الهادی علیه السلام,شهادت امام علی النقی الهادی علیه السلام
درگذشت آنتونی فوکر بنیانگذار شرکت فوکر,درگذشت آنتونی فوکر بنیانگذار شرکت فوکر
زادروز احمد محمود نویسندهٔ معاصر ایرانی,زادروز احمد محمود نویسندهٔ معاصر ایرانی
درگذشت اکبر رادی نمایشنامه نویس ایرانی,درگذشت اکبر رادی نمایشنامه نویس ایرانی
جشن کریسمس,جشن کریسمس
زادروز اسحاق نیوتن فیزیکدان و ریاضیدان انگلیسی,زادروز اسحاق نیوتن فیزیکدان و ریاضیدان انگلیسی
درگذشت چارلی چاپلین بازیگر، کارگردان و آهنگساز، برندهٔ جایزه اسکار,درگذشت چارلی چاپلین بازیگر، کارگردان و آهنگساز، برندهٔ جایزه اسکار
سالروز زمین لرزه ی بم,زمین لرزه ی بم [1382 خورشیدی]
سالروز شهادت آشو زرتشت، اَبَراِنسان بزرگ تاریخ,سالروز شهادت آشو زرتشت، اَبَراِنسان بزرگ تاریخ
زادروز یوهانس کپلر دانشمند، ریاضیدان و ستاره‌شناس سرشناس آلمانی,زادروز یوهانس کپلر دانشمند، ریاضیدان و ستاره‌شناس سرشناس آلمانی
زادروز فروغ فرخزاد شاعر ایرانی,زادروز فروغ فرخزاد شاعر ایرانی
درگذشت سوزان سونتاگ نویسنده، نظریه‌پرداز ادبی و فعال سیاسی اهل آمریکا,درگذشت سوزان سونتاگ نویسنده، نظریه‌پرداز ادبی و فعال سیاسی اهل آمریکا
دی به آذر روز، دومین جشن دیگان,دی به آذر روز، دومین جشن دیگان
زادروز فروغ فرخزاد شاعر ایرانی,زادروز فروغ فرخزاد شاعر ایرانی
درگذشت کارل اشپیتلر شاعر سوئیسی، برنده جایزه نوبل ادبیات سال ۱۹۱۹,درگذشت کارل اشپیتلر شاعر سوئیسی، برنده جایزه نوبل ادبیات سال ۱۹۱۹
زادروز رونالد کوز، اقتصاددان و نویسندهٔ اهل بریتانیا، برندهٔ جایزه نوبل اقتصاد سال ۱۹۹۱,زادروز رونالد کوز، اقتصاددان و نویسندهٔ اهل بریتانیا، برندهٔ جایزه نوبل اقتصاد سال ۱۹۹۱
ولادت امام محمد تقی علیه السلام,ولادت امام محمد تقی علیه السلام
درگذشت رومن رولان نویسنده فرانسوی، برندهٔ جایزه نوبل ادبیات سال ۱۹۱۵,درگذشت رومن رولان نویسنده فرانسوی، برندهٔ جایزه نوبل ادبیات سال ۱۹۱۵
زادروز فرانسیس-آندره وینسنت نقاش فرانسوی,زادروز فرانسیس-آندره وینسنت نقاش فرانسوی
درگذشت جرارد دبرو اقتصاددان و ریاضیدان فرانسوی، برنده جایزه نوبل اقتصاد سال ۱۹۸۳,درگذشت جرارد دبرو اقتصاددان و ریاضیدان فرانسوی، برنده جایزه نوبل اقتصاد سال ۱۹۸۳
زادروز لیلیت تریان مجسمه‌ساز ایرانی، مادر مجسمه‌سازی ایران,زادروز لیلیت تریان مجسمه‌ساز ایرانی، مادر مجسمه‌سازی ایران
جشن آغاز سال نو میلادی,جشن آغاز سال نو میلادی
ولادت امام علی علیه السلام و روز پدر,ولادت امام علی علیه السلام و روز پدر
روز حافظ,روز حافظ
درگذشت نیما یوشیج پدر شعر نو پارسی,درگذشت نیما یوشیج پدر شعر نو پارسی
شهادت سردار حاج قاسم سلیمانی,شهادت سردار حاج قاسم سلیمانی [1398 خورشیدی]
زادروز جان رونالد روئل تالکین، نویسنده و زبان‌شناس بریتانیایی، خالق آثاری چون هابیت و ارباب حلقه‌ها,زادروز جان رونالد روئل تالکین، نویسنده و زبان‌شناس بریتانیایی، خالق آثاری چون هابیت و ارباب حلقه‌ها
درگذشت جک رابی عامل ترور لی هاروی (عامل ترورجان اف. کندی رئیس‌جمهور ایالات متحده آمریکا),درگذشت جک رابی عامل ترور لی هاروی (عامل ترورجان اف. کندی رئیس‌جمهور ایالات متحده آمریکا)
وفات حضرت زینب سلام الله علیها,وفات حضرت زینب سلام الله علیها
زادروز لوئی بریل ابداع کنندهٔ خط بریل,زادروز لوئی بریل ابداع کنندهٔ خط بریل
دی به مهر روز، سومین جشن دیگان,دی به مهر روز، سومین جشن دیگان
زادروز شاه جهان پنجمین امپراتور سلسله گورکانیان هند,زادروز شاه جهان پنجمین امپراتور سلسله گورکانیان هند
کشته شدن منصور ستاری از فرماندهان نیروی هوایی ارتش جمهوری اسلامی ایران,کشته شدن منصور ستاری از فرماندهان نیروی هوایی ارتش جمهوری اسلامی ایران
زادروز جبران خلیل جبران نویسندهٔ سرشناس آمریکایی لبنانی‌الاصل، خالق اثر مشهور پیامبر,زادروز جبران خلیل جبران نویسندهٔ سرشناس آمریکایی لبنانی‌الاصل، خالق اثر مشهور پیامبر
درگذشت لوئی بریل ابداع کننده خط بریل,درگذشت لوئی بریل ابداع کننده خط بریل
سالروز غرق شدن کشتی سانچی,غرق شدن کشتی سانچی [1396 خورشیدی]
اعدام بابک خرمدین به دست معتصم، خلیفه عباسی در سامرا,اعدام بابک خرمدین به دست معتصم، خلیفه عباسی در سامرا
درگذشت نیکولا تسلا ، مخترع رادیو، فیزیکدان و مهندس صربی‌الاصل آمریکایی,درگذشت نیکولا تسلا ، مخترع رادیو، فیزیکدان و مهندس صربی‌الاصل آمریکایی
حادثه کشته شدن ۵۶ تن از تشیع کنندگان در کرمان,حادثه کشته شدن 56 تن از تشیع کنندگان در کرمان
زادروز استیون هاوکینگ فیزیکدان و کیهان‌شناس بریتانیایی,زادروز استیون هاوکینگ فیزیکدان و کیهان‌شناس بریتانیایی
درگذشت گالیلئو گالیله دانشمند و مخترع سرشناس ایتالیائی,درگذشت گالیلئو گالیله دانشمند و مخترع سرشناس ایتالیائی
سالروز حادثه پرواز ۷۵۲ هواپیمایی اوکراین,حادثه پرواز 752 هواپیمایی اوکراین [1398 خورشیدی]
زادروز سیمون دو بووار فیلسوف و نویسندهٔ فمینیست فرانسوی,زادروز سیمون دو بووار فیلسوف و نویسندهٔ فمینیست فرانسوی
درگذشت جیمز مک‌گیل بیوکنن اقتصاددان آمریکایی، برندهٔ جایزه نوبل اقتصاد سال ۱۹۸۶,درگذشت جیمز مک‌گیل بیوکنن اقتصاددان آمریکایی، برندهٔ جایزه نوبل اقتصاد سال ۱۹۸۶
سالروز درگذشت اکبر هاشمی رفسنجانی,درگذشت اکبر هاشمی رفسنجانی [1395 خورشیدی]
سالروز قتل امیرکبیر به دستور ناصرالدین شاه قاجار,قتل امیرکبیر به دستور ناصرالدین شاه قاجار [1230 خورشیدی]
درگذشت گابریلا میسترال شاعر، آموزگار، دیپلمات و فمینیست شیلیایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۴۵,درگذشت گابریلا میسترال شاعر، آموزگار، دیپلمات و فمینیست شیلیایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۴۵
درگذشت کارل دیوید آندرسون فیزیکدان آمریکایی، برندهٔ جایزه فیزیک نوبل سال ۱۹۳۶,درگذشت کارل دیوید آندرسون فیزیکدان آمریکایی، برندهٔ جایزه فیزیک نوبل سال ۱۹۳۶
زادروز جک لندن نویسنده آمریکایی,زادروز جک لندن نویسنده آمریکایی
زادروز محسن هشترودی ریاضی‌دان، فیلسوف و شاعر ایرانی.,زادروز محسن هشترودی ریاضی‌دان، فیلسوف و شاعر ایرانی.
دی به دین روز، چهارمین جشن دیگان,دی به دین روز، چهارمین جشن دیگان
زادروز ویلهلم وین فیزیکدان آلمانی,زادروز ویلهلم وین فیزیکدان آلمانی
شهادت امام موسی کاظم علیه السلام,شهادت امام موسی کاظم علیه السلام
زادروز آلبرت شوایتسر پزشک و موسیقیدان آلمانی، برندهٔ جایزه صلح نوبل سال ۱۹۵۲,زادروز آلبرت شوایتسر پزشک و موسیقیدان آلمانی، برندهٔ جایزه صلح نوبل سال ۱۹۵۲
درگذشت ادموند هالی منجم، فیزیکدان و هواشناس انگلیسی,درگذشت ادموند هالی منجم، فیزیکدان و هواشناس انگلیسی
موزه بریتانیا در لندن برای بازدید عموم گشایش یافت، امروزه این موزه حافظ بیش از ۷ میلیون قطعه از آثار فرهنگی دوران مختلف است.,موزه بریتانیا در لندن برای بازدید عموم گشایش یافت، امروزه این موزه حافظ بیش از ۷ میلیون قطعه از آثار فرهنگی دوران مختلف است.
نخستین مکالمه تلفنی میان نیویورک و سانفرانسیسکو برقرار شد.,نخستین مکالمه تلفنی میان نیویورک و سانفرانسیسکو برقرار شد.
ویکی‌پدیای انگلیسی بزرگترین و قدیمی‌ترین نسخه دانشنامه ویکی‌پدیا آغاز به کار کرد.,ویکی‌پدیای انگلیسی بزرگترین و قدیمی‌ترین نسخه دانشنامه ویکی‌پدیا آغاز به کار کرد.
مبعث  رسول اکرم,مبعث  رسول اکرم
درگذشت آرتورو توسکانینی  آهنگساز و موسیقی‌دان و رهبر ارکستر ایتالیایی.,درگذشت آرتورو توسکانینی  آهنگساز و موسیقی‌دان و رهبر ارکستر ایتالیایی.
اجرای توافق نامه‌ی برجام,اجرای توافق نامه‌ی برجام
زادروز یوایچیرو نامبو فیزیکدان ژاپنی-آمریکایی، برندهٔ جایزه نوبل فیزیک سال ۲۰۰۸,زادروز یوایچیرو نامبو فیزیکدان ژاپنی-آمریکایی، برندهٔ جایزه نوبل فیزیک سال ۲۰۰۸
درگذشت رودیارد کیپلینگ نویسنده و رمان‌نویس اهل کشور انگلستان با اصلیت هندی، برندهٔ جایزه نوبل ادبیات سال ۱۹۰۷,درگذشت رودیارد کیپلینگ نویسنده و رمان‌نویس اهل کشور انگلستان با اصلیت هندی، برندهٔ جایزه نوبل ادبیات سال ۱۹۰۷
برای اولین بار، لامپ رشته‌ای ساخته شده توسط توماس ادیسون در نیوجرسی شروع به کار کرد.,برای اولین بار، لامپ رشته‌ای ساخته شده توسط توماس ادیسون در نیوجرسی شروع به کار کرد.
درگذشت اشو عارف، گورو و فیلسوف هندی,درگذشت اشو عارف، گورو و فیلسوف هندی
کشف اشعه ایکس توسط ویلهلم کنراد رونتگن فیزیکدان آلمانی.,کشف اشعه ایکس توسط ویلهلم کنراد رونتگن فیزیکدان آلمانی.
زادروز یوهانس ویلهلم ینسن نویسنده دانمارکی، برندهٔ جایزه نوبل ادبیات سال ۱۹۴۴,زادروز یوهانس ویلهلم ینسن نویسنده دانمارکی، برندهٔ جایزه نوبل ادبیات سال ۱۹۴۴
سالروز آتش‌سوزی و فروریختن ساختمان پلاسکو,آتش‌سوزی و فروریختن ساختمان پلاسکو [1395 خورشیدی]
زادروز فردوسی,زادروز فردوسی
درگذشت جرج اورول، داستان‌نویس، روزنامه‌نگار، منتقد ادبی و شاعر انگلیسی,درگذشت جرج اورول، داستان‌نویس، روزنامه‌نگار، منتقد ادبی و شاعر انگلیسی
بهمن روز، جشن بهمنگان,بهمن روز، جشن بهمنگان
ولادت سالار شهیدان، امام حسین علیه السلام و روز پاسدار,ولادت سالار شهیدان، امام حسین علیه السلام و روز پاسدار
زادروز لو لانداو فیزیکدان اهل شوروی، برندهٔ جایزه نوبل فیزیک سال ۱۹۶۲,زادروز لو لانداو فیزیکدان اهل شوروی، برندهٔ جایزه نوبل فیزیک سال ۱۹۶۲
ولادت ابوالفضل العباس علیه السلام و روز جانباز,ولادت ابوالفضل العباس علیه السلام و روز جانباز
زادروز درک والکوت شاعر و نمایشنامه نویس انگلیسی، برندهٔ جایزه نوبل ادبیات سال ۱۹۹۲,زادروز درک والکوت شاعر و نمایشنامه نویس انگلیسی، برندهٔ جایزه نوبل ادبیات سال ۱۹۹۲
درگذشت سالوادور دالی، نقاش فراواقع‌گرای اسپانیایی.,درگذشت سالوادور دالی، نقاش فراواقع‌گرای اسپانیایی.
ولادت امام زین العابدین علیه السلام,ولادت امام زین العابدین علیه السلام
درگذشت آمادئو مودیلیانی نقاش و مجسمه‌ساز برجستهٔ ایتالیایی,درگذشت آمادئو مودیلیانی نقاش و مجسمه‌ساز برجستهٔ ایتالیایی
جشن نوسره,جشن نوسره
زادروز رابرت بویل، شیمی‌دان، فیزیک‌دان، و مخترع انگلیسی؛ پایه‌گذار شیمی جدید.,زادروز رابرت بویل، شیمی‌دان، فیزیک‌دان، و مخترع انگلیسی؛ پایه‌گذار شیمی جدید.
درگذشت ادوارد جنر، پزشک انگلیسی، کاشف کاربرد واکسیناسیون برای بیماری آبله.,درگذشت ادوارد جنر، پزشک انگلیسی، کاشف کاربرد واکسیناسیون برای بیماری آبله.
درگذشت نیکلاوس اتو، مهندس آلمانی، مخترع موتور درون‌سوز.,درگذشت نیکلاوس اتو، مهندس آلمانی، مخترع موتور درون‌سوز.
زادروز ولفگانگ آمادئوس موتسارت، آهنگساز اتریشی، از بزرگ‌ترین آهنگسازان موسیقی کلاسیک.,زادروز ولفگانگ آمادئوس موتسارت، آهنگساز اتریشی، از بزرگ‌ترین آهنگسازان موسیقی کلاسیک.
درگذشت یوهان گوتلیب فیشته، فیلسوف آلمانی؛ از پایه‌گذاران مکتب ایده‌آلیسم.,درگذشت یوهان گوتلیب فیشته، فیلسوف آلمانی؛ از پایه‌گذاران مکتب ایده‌آلیسم.
درگذشت ویلیام باتلر ییتس، شاعر و نمایشنامه‌نویس ایرلندی؛ برندهٔ، جایزه نوبل ادبیات سال ۱۹۲۳.,درگذشت ویلیام باتلر ییتس، شاعر و نمایشنامه‌نویس ایرلندی؛ برندهٔ، جایزه نوبل ادبیات سال ۱۹۲۳.
زادروز آنتوان چخوف، نویسنده و نمایشنامه‌نویس برجستهٔ روسی,زادروز آنتوان چخوف، نویسنده و نمایشنامه‌نویس برجستهٔ روسی
درگذشت فریتس هابر، شیمی‌دان آلمانی؛ برندهٔ جایزه نوبل شیمی.,درگذشت فریتس هابر، شیمی‌دان آلمانی؛ برندهٔ جایزه نوبل شیمی.
ولادت علی اکبر علیه السلام و روز جوان,ولادت علی اکبر علیه السلام و روز جوان
جشن سده,جشن سده
درگذشت ماهاتما گاندی، رهبر سیاسی و معنوی مردم هندوستان در مبارزه با استعمار امپراتوری بریتانیا.,درگذشت ماهاتما گاندی، رهبر سیاسی و معنوی مردم هندوستان در مبارزه با استعمار امپراتوری بریتانیا.
درگذشت جان گالزورثی، نویسنده و نمایشنامه‌نویس انگلیسی؛ برندهٔ جایزه نوبل ادبیات سال ۱۹۳۲.,درگذشت جان گالزورثی، نویسنده و نمایشنامه‌نویس انگلیسی؛ برندهٔ جایزه نوبل ادبیات سال ۱۹۳۲.
بازگشت امام خمینی (ره) به ایران,بازگشت امام خمینی (ره) به ایران
درگذشت ورنر کارل هایزنبرگ، فیزیک‌دان آلمانی، برندهٔ جایزه نوبل فیزیک سال ۱۹۳۲.,درگذشت ورنر کارل هایزنبرگ، فیزیک‌دان آلمانی، برندهٔ جایزه نوبل فیزیک سال ۱۹۳۲.
زادروز امیلیو گینو سگر، فیزیکدان ایتالیایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۵۹.,زادروز امیلیو گینو سگر، فیزیکدان ایتالیایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۵۹.
درگذشت دمیتری مندلیف، شیمیدان روس؛ پایه‌گذار جدول تناوبی عناصر شیمیائی,درگذشت دمیتری مندلیف، شیمیدان روس؛ پایه‌گذار جدول تناوبی عناصر شیمیائی
زادروز جیمز جویس، نویسندهٔ ایرلندی؛ خالق رمان اولیس,زادروز جیمز جویس، نویسندهٔ ایرلندی؛ خالق رمان اولیس
ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان
زادروز فلیکس مندلسون، آهنگساز، پیانیست، ارگ‌نواز و رهبر ارکسترآلمانی.,زادروز فلیکس مندلسون، آهنگساز، پیانیست، ارگ‌نواز و رهبر ارکسترآلمانی.
درگذشت آگوست هورش، بنیانگذار شرکت آئودی.,درگذشت آگوست هورش، بنیانگذار شرکت آئودی.
جشن میانه زمستان,جشن میانه زمستان
زادروز رابرت هافستاتر، فیزیکدان آمریکایی؛ برندهٔ جایزه نوبل فیزیک سال ۱۹۶۱.,زادروز رابرت هافستاتر، فیزیکدان آمریکایی؛ برندهٔ جایزه نوبل فیزیک سال ۱۹۶۱.
درگذشت واسیلی لئونتیف، اقتصاددان آمریکایی؛ برندهٔ جایزه نوبل اقتصاد سال ۱۹۷۳.,درگذشت واسیلی لئونتیف، اقتصاددان آمریکایی؛ برندهٔ جایزه نوبل اقتصاد سال ۱۹۷۳.
زادروز فرانسوا تروفو، فیلمساز، نظریه‌پرداز و منتقد سینمایی فرانسوی.,زادروز فرانسوا تروفو، فیلمساز، نظریه‌پرداز و منتقد سینمایی فرانسوی.
درگذشت گوستاو کلیمت، نقاش نمادگرای اتریشی.,درگذشت گوستاو کلیمت، نقاش نمادگرای اتریشی.
زادروز چارلز دیکنز نویسندهٔ انگلیسی، خالق دیوید کاپرفیلد، آرزوهای بزرگ و الیور توئیست.,زادروز چارلز دیکنز نویسندهٔ انگلیسی، خالق دیوید کاپرفیلد، آرزوهای بزرگ و الیور توئیست.
زادروز گادفری هارولد هاردی ریاضیدان انگلیسی، صاحب آثاری در زمینه آنالیز ریاضی و نظریه اعداد.,زادروز گادفری هارولد هاردی ریاضیدان انگلیسی، صاحب آثاری در زمینه آنالیز ریاضی و نظریه اعداد.
روز نیروی هوایی,روز نیروی هوایی
زادروز ژول ورن، نویسندهٔ علمی–تخیلی، شاعر و نمایشنامه‌نویس فرانسوی.,زادروز ژول ورن، نویسندهٔ علمی–تخیلی، شاعر و نمایشنامه‌نویس فرانسوی.
زادروز دمیتری مندلیف، شیمیدان روس؛ پایه‌گذار جدول تناوبی عناصر شیمیائی.,زادروز دمیتری مندلیف، شیمیدان روس؛ پایه‌گذار جدول تناوبی عناصر شیمیائی.
روز جهانی کودک,روز جهانی کودک
درگذشت فئودور داستایوسکی، نویسندهٔ روس، خالق برادران کارامازوف ، جنایت و مکافات ،ابله، جن‌زدگان,درگذشت فئودور داستایوسکی، نویسندهٔ روس، خالق برادران کارامازوف ، جنایت و مکافات ،ابله، جن‌زدگان
زادروز جان ماکسول کوئتزه، نویسندهٔ اهل آفریقای جنوبی؛ برندهٔ جایزه نوبل ادبیات سال ۲۰۰۳.,زادروز جان ماکسول کوئتزه، نویسندهٔ اهل آفریقای جنوبی؛ برندهٔ جایزه نوبل ادبیات سال ۲۰۰۳.
زادروز والتر هاوسر براتین، فیزیکدان آمریکایی؛ برندهٔ جایزه نوبل فیزیک سال۱۹۵۶.,زادروز والتر هاوسر براتین، فیزیکدان آمریکایی؛ برندهٔ جایزه نوبل فیزیک سال۱۹۵۶.
درگذشت ویلهلم کنراد رونتگن، فیزیکدان آلمانی؛ کاشف اشعه ایکس، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۱.,درگذشت ویلهلم کنراد رونتگن، فیزیکدان آلمانی؛ کاشف اشعه ایکس، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۱.
پیروزی انقلاب اسلامی,پیروزی انقلاب اسلامی
تولد توماس ادیسون,تولد توماس ادیسون
حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران,حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران
زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی,زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی
زادروز جولیان شوینگر، فیزیکدان آمریکایی؛ برندهٔ جایزه نوبل فیزیک سال ۱۹۶۵.,زادروز جولیان شوینگر، فیزیکدان آمریکایی؛ برندهٔ جایزه نوبل فیزیک سال ۱۹۶۵.
زادروز ویلیام شاکلی، فیزیک‌دان و مخترع آمریکایی بریتانیایی‌الاصل؛ برندهٔ جایزه نوبل فیزیک سال۱۹۵۶.,زادروز ویلیام شاکلی، فیزیک‌دان و مخترع آمریکایی بریتانیایی‌الاصل؛ برندهٔ جایزه نوبل فیزیک سال۱۹۵۶.
درگذشت ریشارد واگنر، آهنگ‌ساز، رهبر ارکستر، نظریه‌پرداز موسیقی و مقاله‌نویس آلمانی.,درگذشت ریشارد واگنر، آهنگ‌ساز، رهبر ارکستر، نظریه‌پرداز موسیقی و مقاله‌نویس آلمانی.
جشن ولنتاین,جشن ولنتاین
ثبت اختراع تلفن توسط الکساندر گراهام بل,ثبت اختراع تلفن توسط الکساندر گراهام بل
زادروز چارلز تامسون ریس ویلسون، فیزیک‌دان و هواشناس اسکاتلندی؛ برندهٔ جایزه نوبل فیزیک سال ۱۹۲۷,زادروز چارلز تامسون ریس ویلسون، فیزیک‌دان و هواشناس اسکاتلندی؛ برندهٔ جایزه نوبل فیزیک سال ۱۹۲۷
زادروز گالیلئو گالیله، دانشمند و مخترع ایتالیایی.,زادروز گالیلئو گالیله، دانشمند و مخترع ایتالیایی.
درگذشت اون ویلانز ریچاردسون، فیزیک‌دان انگلیسی؛ برندهٔ جایزه نوبل فیزیک سال ۱۹۲۸.,درگذشت اون ویلانز ریچاردسون، فیزیک‌دان انگلیسی؛ برندهٔ جایزه نوبل فیزیک سال ۱۹۲۸.
زادروز ارنست هکل، زیست‌شناس، مورخ طبیعت، فیلسوف، پزشک و استاد آلمانی.,زادروز ارنست هکل، زیست‌شناس، مورخ طبیعت، فیلسوف، پزشک و استاد آلمانی.
درگذشت فرانسیس راوس، ویروس‌شناس آمریکایی؛ برنده جایزه نوبل فیزیولوژی و پزشکی.,درگذشت فرانسیس راوس، ویروس‌شناس آمریکایی؛ برنده جایزه نوبل فیزیولوژی و پزشکی.
